DateTime,Predicted_Vehicles,Junction
2017-06-30 14:00:00,11.096658,4
2017-07-07 14:00:00,10.159056,4
2017-07-14 14:00:00,9.263428,4
2017-07-21 14:00:00,8.417862,4
2017-07-28 14:00:00,7.7155695,4
2017-08-04 14:00:00,7.243295,4
2017-08-11 14:00:00,7.134554,4
2017-08-18 14:00:00,6.39832,4
2017-08-25 14:00:00,6.3949895,4
2017-09-01 14:00:00,6.4426613,4
2017-09-08 14:00:00,7.969929,4
2017-09-15 14:00:00,7.701258,4
2017-09-22 14:00:00,7.5323167,4
2017-09-29 14:00:00,7.4173875,4
2017-10-06 14:00:00,7.3432217,4
2017-10-13 14:00:00,7.308646,4
2017-10-20 14:00:00,7.3110323,4
2017-10-27 14:00:00,7.325333,4
2017-11-03 14:00:00,7.38764,4
2017-11-10 14:00:00,7.4537177,4
2017-11-17 14:00:00,7.5312004,4
2017-11-24 14:00:00,7.504813,4
2017-12-01 14:00:00,7.4889708,4
2017-12-08 14:00:00,7.490674,4
2017-12-15 14:00:00,7.4937434,4
2017-12-22 14:00:00,7.5088964,4
2017-12-29 14:00:00,7.5328794,4
2018-01-05 14:00:00,7.6859703,4
2018-01-12 14:00:00,7.79075,4
2018-01-19 14:00:00,7.8957953,4
2018-01-26 14:00:00,7.9511433,4
2018-02-02 14:00:00,7.925105,4
2018-02-09 14:00:00,7.8312774,4
2018-02-16 14:00:00,7.704907,4
2018-02-23 14:00:00,7.565245,4
2018-03-02 14:00:00,7.402014,4
2018-03-09 14:00:00,7.2645483,4
2018-03-16 14:00:00,7.279705,4
2018-03-23 14:00:00,7.29108,4
2018-03-30 14:00:00,7.298879,4
2018-04-06 14:00:00,7.287804,4
2018-04-13 14:00:00,7.2642884,4
2018-04-20 14:00:00,7.243777,4
2018-04-27 14:00:00,7.229996,4
2018-05-04 14:00:00,7.211503,4
2018-05-11 14:00:00,7.194481,4
2018-05-18 14:00:00,7.1924505,4
2018-05-25 14:00:00,7.20522,4
2018-06-01 14:00:00,7.210543,4
2018-06-08 14:00:00,7.2215033,4
2018-06-15 14:00:00,7.2240405,4
2018-06-22 14:00:00,7.2333803,4
2018-06-29 14:00:00,7.2492313,4
