DateTime,Predicted_Vehicles,Junction
2017-06-30 14:00:00,23.10115,3
2017-07-07 14:00:00,19.265162,3
2017-07-14 14:00:00,16.696016,3
2017-07-21 14:00:00,14.837999,3
2017-07-28 14:00:00,12.967479,3
2017-08-04 14:00:00,11.28558,3
2017-08-11 14:00:00,10.228459,3
2017-08-18 14:00:00,9.645173,3
2017-08-25 14:00:00,9.6238785,3
2017-09-01 14:00:00,10.543796,3
2017-09-08 14:00:00,12.150425,3
2017-09-15 14:00:00,10.968191,3
2017-09-22 14:00:00,10.20029,3
2017-09-29 14:00:00,9.692528,3
2017-10-06 14:00:00,9.345085,3
2017-10-13 14:00:00,9.119317,3
2017-10-20 14:00:00,9.009816,3
2017-10-27 14:00:00,8.975916,3
2017-11-03 14:00:00,8.969244,3
2017-11-10 14:00:00,8.967388,3
2017-11-17 14:00:00,8.88726,3
2017-11-24 14:00:00,8.65786,3
2017-12-01 14:00:00,8.490748,3
2017-12-08 14:00:00,8.376466,3
2017-12-15 14:00:00,8.294278,3
2017-12-22 14:00:00,8.235118,3
2017-12-29 14:00:00,8.190038,3
2018-01-05 14:00:00,8.323656,3
2018-01-12 14:00:00,8.402876,3
2018-01-19 14:00:00,8.467268,3
2018-01-26 14:00:00,8.50324,3
2018-02-02 14:00:00,8.49468,3
2018-02-09 14:00:00,8.475834,3
2018-02-16 14:00:00,8.439859,3
2018-02-23 14:00:00,8.389288,3
2018-03-02 14:00:00,8.320214,3
2018-03-09 14:00:00,8.281031,3
2018-03-16 14:00:00,8.292906,3
2018-03-23 14:00:00,8.300524,3
2018-03-30 14:00:00,8.305413,3
2018-04-06 14:00:00,8.28954,3
2018-04-13 14:00:00,8.273632,3
2018-04-20 14:00:00,8.260549,3
2018-04-27 14:00:00,8.250393,3
2018-05-04 14:00:00,8.22637,3
2018-05-11 14:00:00,8.209371,3
2018-05-18 14:00:00,8.201061,3
2018-05-25 14:00:00,8.199805,3
2018-06-01 14:00:00,8.184653,3
2018-06-08 14:00:00,8.173983,3
2018-06-15 14:00:00,8.16269,3
2018-06-22 14:00:00,8.156242,3
2018-06-29 14:00:00,8.153429,3
