DateTime,Predicted_Vehicles,Junction
2017-06-30 14:00:00,24.0571,2
2017-07-07 14:00:00,20.32768,2
2017-07-14 14:00:00,17.54077,2
2017-07-21 14:00:00,15.8308325,2
2017-07-28 14:00:00,14.291524,2
2017-08-04 14:00:00,12.844669,2
2017-08-11 14:00:00,11.713105,2
2017-08-18 14:00:00,10.8265705,2
2017-08-25 14:00:00,10.577466,2
2017-09-01 14:00:00,11.115832,2
2017-09-08 14:00:00,13.0713825,2
2017-09-15 14:00:00,12.052579,2
2017-09-22 14:00:00,11.293032,2
2017-09-29 14:00:00,10.772667,2
2017-10-06 14:00:00,10.383315,2
2017-10-13 14:00:00,10.136986,2
2017-10-20 14:00:00,9.975592,2
2017-10-27 14:00:00,9.882961,2
2017-11-03 14:00:00,9.830193,2
2017-11-10 14:00:00,9.806678,2
2017-11-17 14:00:00,9.738127,2
2017-11-24 14:00:00,9.529286,2
2017-12-01 14:00:00,9.364748,2
2017-12-08 14:00:00,9.240363,2
2017-12-15 14:00:00,9.148674,2
2017-12-22 14:00:00,9.074986,2
2017-12-29 14:00:00,9.011058,2
2018-01-05 14:00:00,9.123489,2
2018-01-12 14:00:00,9.201742,2
2018-01-19 14:00:00,9.28021,2
2018-01-26 14:00:00,9.348292,2
2018-02-02 14:00:00,9.390299,2
2018-02-09 14:00:00,9.444886,2
2018-02-16 14:00:00,9.49769,2
2018-02-23 14:00:00,9.549611,2
2018-03-02 14:00:00,9.591279,2
2018-03-09 14:00:00,9.657976,2
2018-03-16 14:00:00,9.674408,2
2018-03-23 14:00:00,9.690971,2
2018-03-30 14:00:00,9.706269,2
2018-04-06 14:00:00,9.700392,2
2018-04-13 14:00:00,9.704188,2
2018-04-20 14:00:00,9.708061,2
2018-04-27 14:00:00,9.710486,2
2018-05-04 14:00:00,9.692368,2
2018-05-11 14:00:00,9.684514,2
2018-05-18 14:00:00,9.676064,2
2018-05-25 14:00:00,9.66615,2
2018-06-01 14:00:00,9.64156,2
2018-06-08 14:00:00,9.619045,2
2018-06-15 14:00:00,9.602254,2
2018-06-22 14:00:00,9.586727,2
2018-06-29 14:00:00,9.571019,2
